,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
946,score,0,0,207,1,25,1537736,19,68
955,score,0,0,509,1,48,3574178,20,50
967,score,7,10,12209,1,192,222151,16,953
986,score,3,0,107,-1,12,1889622,16,68
989,score,1,8,1839,2,398,2550349,20,178
999,score,0,4,359,1,14,2872408,15,31
1000,score,0,4,359,1,14,2872408,19,31
1004,score,0,0,71,1,2,1753295,17,0
1005,score,0,0,25,1,0,5342829,17,1
1008,score,1,0,29,-3,0,5678873,13,2
1018,score,1,0,17,2,0,6242692,17,4
1019,score,0,0,29,-1,0,971768,11,5
1021,score,0,0,55,1,3,3482838,14,5
1026,score,0,0,27,1,0,4083332,18,6
1028,score,8,0,36,1,15,3747674,17,6
1032,score,0,0,139,1,1,609506,19,7
1038,score,0,17,151,-1,10,3749729,12,7
1041,score,7,0,69,1,5,5078761,16,8
1044,score,1,0,53,-1,0,1329417,10,8
1046,score,0,0,109,1,2,6236430,17,9
1047,score,4,0,43,-1,4,5845920,16,9
1056,score,1,0,140,1,0,1474603,20,11
1061,score,0,0,105,1,6,5336859,18,11
1065,score,0,0,153,2,4,713306,17,11
1066,score,2,0,323,1,9,5234730,13,11
1067,score,0,0,167,2,30,552847,15,12
